                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                 1.0925,                0.63898,                 1.2689,                0.96868,                0.98333,                0.97724,                0.63132,                 1.3628,                0.47946,                 1.2648,              0.0003334,              0.0003334,              0.0003334
                    103,                 1.0409,                0.61472,                 1.2535,                 0.9522,                0.98333,                0.97738,                0.68331,                 1.1877,                0.46491,                 1.1915,             0.00032673,             0.00032673,             0.00032673
                    104,                 1.0136,                0.58451,                 1.2285,                0.98599,                0.98971,                  0.995,                0.71745,                 1.0673,                0.44368,                 1.1558,             0.00032007,             0.00032007,             0.00032007
                    105,                 1.0604,                0.64906,                 1.2792,                0.96857,                0.98895,                0.99421,                0.68188,                 1.1779,                0.47313,                 1.2174,              0.0003134,              0.0003134,              0.0003134
                    106,                 1.0043,                 0.6096,                 1.2563,                0.98375,                      1,                  0.995,                0.66871,                 1.2149,                0.47263,                 1.2216,             0.00030674,             0.00030674,             0.00030674
                    107,                 1.0288,                0.64246,                 1.2354,                 0.9712,                0.98333,                0.97559,                0.69854,                 1.0863,                0.44321,                 1.1857,             0.00030007,             0.00030007,             0.00030007
                    108,                 1.0632,                0.64326,                 1.2969,                 0.9701,                0.98333,                 0.9746,                0.69181,                 1.0752,                0.44504,                  1.166,              0.0002934,              0.0002934,              0.0002934
                    109,                 1.0422,                0.62817,                 1.2493,                0.95678,                0.98333,                 0.9757,                0.67865,                 1.1248,                0.45221,                 1.1836,             0.00028674,             0.00028674,             0.00028674
                    110,                 1.0449,                0.61999,                 1.2394,                0.95835,                0.98333,                0.97481,                0.68281,                 1.1183,                0.45631,                 1.1898,             0.00028007,             0.00028007,             0.00028007
                    111,                 1.0744,                0.63582,                 1.2849,                0.96308,                0.98333,                0.97168,                0.69139,                  1.101,                0.44732,                 1.1822,             0.00027341,             0.00027341,             0.00027341
                    112,                 1.0138,                0.65058,                  1.251,                0.96928,                0.98333,                0.97326,                0.67513,                 1.1346,                0.44659,                 1.1839,             0.00026674,             0.00026674,             0.00026674
                    113,                0.99679,                0.58199,                  1.242,                0.96931,                 0.9803,                0.96827,                0.70188,                 1.0038,                0.42451,                 1.1426,             0.00026007,             0.00026007,             0.00026007
                    114,                 1.0093,                0.64764,                 1.2719,                0.95498,                0.98333,                0.96847,                0.68288,                  1.057,                0.43105,                 1.1642,             0.00025341,             0.00025341,             0.00025341
                    115,                0.98321,                 0.5859,                 1.2208,                0.95914,                0.98333,                0.97244,                0.67082,                 1.1095,                0.43738,                 1.1975,             0.00024674,             0.00024674,             0.00024674
                    116,                 1.0345,                0.65277,                 1.2538,                0.96376,                0.98333,                0.97582,                0.67693,                 1.1367,                0.44904,                 1.2215,             0.00024008,             0.00024008,             0.00024008
                    117,                 1.0241,                0.64071,                 1.2577,                0.97042,                0.98333,                0.97486,                 0.6769,                 1.1053,                0.43774,                 1.2039,             0.00023341,             0.00023341,             0.00023341
                    118,                0.98934,                0.59038,                 1.2351,                 0.9707,                0.98202,                0.97657,                0.65339,                 1.1938,                0.44079,                 1.2373,             0.00022674,             0.00022674,             0.00022674
                    119,                0.97213,                0.56459,                 1.2125,                0.97044,                0.97926,                0.96932,                 0.6686,                 1.0842,                0.42548,                 1.1727,             0.00022008,             0.00022008,             0.00022008
                    120,                 1.0533,                0.60991,                 1.2561,                0.96469,                0.98333,                0.97041,                0.71829,                0.95855,                 0.4027,                 1.1207,             0.00021341,             0.00021341,             0.00021341
                    121,                 1.0141,                0.58452,                 1.2383,                0.96831,                0.98189,                 0.9733,                0.68985,                 1.0724,                0.41382,                 1.1601,             0.00020675,             0.00020675,             0.00020675
                    122,                 1.0069,                0.61882,                 1.2201,                0.98127,                      1,                  0.995,                0.68417,                 1.0834,                0.42394,                 1.1772,             0.00020008,             0.00020008,             0.00020008
                    123,                  1.022,                0.59346,                 1.2505,                0.96927,                0.98131,                0.97062,                0.69406,                 1.0666,                0.41464,                 1.1568,             0.00019341,             0.00019341,             0.00019341
                    124,                 0.9744,                0.58394,                 1.2364,                 0.9685,                0.98333,                0.96944,                0.69625,                 1.0423,                0.40779,                 1.1403,             0.00018675,             0.00018675,             0.00018675
                    125,                0.97136,                0.57094,                 1.2193,                0.96598,                0.98333,                0.97134,                0.67891,                 1.0726,                0.42103,                 1.1669,             0.00018008,             0.00018008,             0.00018008
                    126,                0.98804,                0.61492,                 1.2559,                0.96961,                0.97931,                0.97067,                0.67178,                 1.1363,                0.42202,                 1.2192,             0.00017342,             0.00017342,             0.00017342
                    127,                 1.0005,                0.61375,                 1.2323,                0.95243,                0.98333,                0.96977,                0.67748,                 1.1094,                0.42128,                 1.2053,             0.00016675,             0.00016675,             0.00016675
                    128,                 1.0881,                0.62356,                 1.2809,                0.96005,                0.98333,                0.97001,                 0.6612,                 1.1941,                0.44036,                 1.2218,             0.00016008,             0.00016008,             0.00016008
                    129,                0.95837,                0.58199,                 1.2128,                0.95568,                0.98333,                0.96773,                  0.646,                  1.247,                0.45123,                 1.2292,             0.00015342,             0.00015342,             0.00015342
                    130,                 1.0162,                 0.6294,                  1.229,                0.95429,                0.98333,                0.96768,                0.67331,                 1.1627,                0.43608,                 1.1743,             0.00014675,             0.00014675,             0.00014675
                    131,                 1.0039,                0.58974,                 1.2324,                 0.9703,                0.97594,                0.96757,                0.69492,                 1.0485,                0.41132,                 1.1361,             0.00014009,             0.00014009,             0.00014009
                    132,                 1.0226,                0.58047,                 1.2413,                 0.9702,                0.97567,                0.96903,                0.68913,                  1.086,                  0.418,                 1.1539,             0.00013342,             0.00013342,             0.00013342
                    133,                  1.005,                0.59478,                 1.2566,                0.97023,                0.97443,                0.96903,                0.68178,                 1.1266,                0.42123,                 1.1725,             0.00012675,             0.00012675,             0.00012675
                    134,                 1.0258,                0.61794,                 1.2682,                0.96996,                0.97837,                0.97067,                0.67819,                 1.1057,                0.41938,                 1.1737,             0.00012009,             0.00012009,             0.00012009
